feature,direction,operator,suggested_threshold,labelled_cases,paid_cases,not_paid_cases,flagged_cases,flagged_not_paid,flagged_paid,flagged_not_paid_rate,bad_capture_rate,paid_capture_rate,lift_vs_base,separation,paid_median,not_paid_median,recommendation_score,confidence,suggested_action
subprime_score,low_is_risk,<=,48.8,8,6,2,2,2,0,1.0,1.0,0.0,4.0,1.0,69.4,48.8,1.4000000000000001,Weak,Exploratory only; based on 8 labelled cases and 2 not-paid cases
Net Income,low_is_risk,<=,-13028.47,8,6,2,2,2,0,1.0,1.0,0.0,4.0,1.0,7769.63,-13028.47,1.4000000000000001,Weak,Exploratory only; based on 8 labelled cases and 2 not-paid cases
Operating Margin,low_is_risk,<=,-0.23,8,6,2,2,2,0,1.0,1.0,0.0,4.0,1.0,0.065,-0.23,1.4000000000000001,Weak,Exploratory only; based on 8 labelled cases and 2 not-paid cases
Gross Burn Rate,high_is_risk,>=,33766.63,8,6,2,2,2,0,1.0,1.0,0.0,4.0,1.0,6740.74,34849.09,1.4000000000000001,Weak,Exploratory only; based on 8 labelled cases and 2 not-paid cases
Cash Flow Volatility,high_is_risk,>=,0.8035,8,6,2,2,2,0,1.0,1.0,0.0,4.0,1.0,0.55,1.012,1.4000000000000001,Weak,Exploratory only; based on 8 labelled cases and 2 not-paid cases
Revenue Growth Rate,low_is_risk,<=,-0.5,8,6,2,2,2,0,1.0,1.0,0.0,4.0,1.0,0.05,-0.5,1.4000000000000001,Weak,Exploratory only; based on 8 labelled cases and 2 not-paid cases
Average Negative Balance Days per Month,high_is_risk,>=,7.75,8,6,2,2,2,0,1.0,1.0,0.0,4.0,1.0,5.0,10.0,1.4000000000000001,Weak,Exploratory only; based on 8 labelled cases and 2 not-paid cases
directors_score,high_is_risk,>=,68.5,8,6,2,4,2,2,0.5,1.0,0.3333333333333333,2.0,0.6666666666666667,65.0,72.0,0.8166666666666668,Weak,Exploratory only; based on 8 labelled cases and 2 not-paid cases
requested_loan,high_is_risk,>=,6500.0,8,6,2,4,2,2,0.5,1.0,0.3333333333333333,2.0,0.6666666666666667,6000.0,7000.0,0.8166666666666668,Weak,Exploratory only; based on 8 labelled cases and 2 not-paid cases
company_age_months,low_is_risk,<=,33.0,8,6,2,4,2,2,0.5,1.0,0.3333333333333333,2.0,0.6666666666666667,39.0,33.0,0.8166666666666668,Weak,Exploratory only; based on 8 labelled cases and 2 not-paid cases
Total Revenue,high_is_risk,>=,49416.04,8,6,2,4,2,2,0.5,1.0,0.3333333333333333,2.0,0.6666666666666667,42162.37,56669.71,0.8166666666666668,Weak,Exploratory only; based on 8 labelled cases and 2 not-paid cases
Monthly Average Revenue,high_is_risk,>=,17680.96,8,6,2,4,2,2,0.5,1.0,0.3333333333333333,2.0,0.6666666666666667,7027.06,28334.86,0.8166666666666668,Weak,Exploratory only; based on 8 labelled cases and 2 not-paid cases
Total Debt,low_is_risk,<=,0.0,8,6,2,4,2,2,0.5,1.0,0.3333333333333333,2.0,0.6666666666666667,4499.06,0.0,0.8166666666666668,Weak,Exploratory only; based on 8 labelled cases and 2 not-paid cases
Debt-to-Income Ratio,low_is_risk,<=,0.0,8,6,2,4,2,2,0.5,1.0,0.3333333333333333,2.0,0.6666666666666667,0.029,0.0,0.8166666666666668,Weak,Exploratory only; based on 8 labelled cases and 2 not-paid cases
Debt Service Coverage Ratio,high_is_risk,>=,40.69,8,6,2,4,2,2,0.5,1.0,0.3333333333333333,2.0,0.6666666666666667,31.38,50.0,0.8166666666666668,Weak,Exploratory only; based on 8 labelled cases and 2 not-paid cases
